comment,label,rate,Unnamed: 3,comment_clean
Tuyệt vời hơn khi mua trên shopee thì được freeship.,POS,5,,tuyệt_vời hơn khi mua trên shopee thì được freeship
Tiếc là ko đặt thêm mấy chiếc.,POS,5,,tiếc là ko đặt thêm mấy chiếc
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh
Đồng hồ mua về k sử dụg đc.,NEG,1,,đồng_hồ mua về k sử_dụg đc
Chất mềm mịn mát.,POS,5,,chất mềm mịn mát
"Giao thiếu 1b 80k , mà im re.",NEG,1,,giao thiếu 1 b 80 k mà im_re
Sản phr rất ưng ý.,POS,5,,sản phr rất ưng_ý
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
mua lần 2 rồi <3.,POS,5,,mua lần 2 rồi 3
"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực.",NEG,1,,ngực em cuzng bitnhf thường thôi mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực
Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1 .,POS,5,,quần đợt 2 đặt tận 7 chiếc mà chất_quần hoàn_toàn xa với đợt 1
99k cũng đáng mua.,POS,5,,99 k cũng đáng mua
"Quần đẹp, vừa form .",POS,5,,quần đẹp vừa form
Giao hàng nhanh.,POS,5,,giao hàng nhanh
"Chất vải xấu, xù.",NEG,2,,chất vải xấu xù
"Sp tạm được, hơi rộng so vs mình.",NEU,3,,sp tạm được hơi rộng so vs mình
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.",POS,5,,đẹp chất mềm_mại mặc rất thích chủ_shop nhiệt_tình chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh
"Giày nhem nhuốc, ố bẩn + Box nát.",NEG,1,,giày nhem nhuốc ố bẩn box nát
"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc.",NEU,3,,rất đáng tiền tuy_nhiên vải ko được co_giãn lắm nếu là bạn gái từ 55 k trở lên thì khó mặc
Đủ số lượng.,POS,4,,đủ số_lượng
Áo y hình Chất lượng sản phẩm tuyệt vời.,POS,5,,áo y_hình chất_lượng sản_phẩm tuyệt_vời
RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!!,POS,5,,rất ưng_ý và chất_lượng
"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương.",NEG,2,,mật để trong tủ_lạnh bị đóng_sệt lại khoảng_không trong chai ko di_chuyển như mật mình mua ở địa_phương
Áo sờ chất rất thích.,POS,4,,áo sờ_chất rất thích
"Váy quá đẹp,mặc lên rất tôn da.",POS,5,,váy quá đẹpmặc lên rất tôn da
"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ?",POS,4,,mình xài hộp màu xanh sao lại thấy không thơm nhỉ
"Giao hàng nhanh, giống hình.",POS,5,,giao hàng nhanh giống hình
"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍.",POS,5,,shop tặng thêm bánh và 1 đôi tất_lười nữa đáng yêu
"Hàng chất lượng tốt, mang đi êm <3.",POS,5,,hàng chất_lượng tốt mang đi êm 3
Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt .,POS,4,,chất_lượng sản_phẩm tuyệt_vời nhưng màu k giống hình_minh đặt
Người giao hàng rất có tâm đấy ạ.,POS,5,,người giao hàng rất có tâm đấy ạ
Hàng tốt i như trong hình.,POS,5,,hàng tốt i như trong hình
Giao hàng khá chậm.,NEG,2,,giao hàng khá chậm
"Áo đẹp, hơi mỏng.",NEU,3,,áo đẹp hơi mỏng
Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt.,POS,5,,đúng hàng loại 1 có khác từ cách đóng_gói đến chất_lượng sản_phẩm quá tốt
"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a.",POS,5,,chất_lượng sản_phẩm tuyệt_vời ngon_bổ re shop a
Màn hình to và khá là hd.,POS,5,,màn_hình to và khá là hd
Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok.,NEG,2,,áo khá mỏng và cụt hơn mình nghĩ đóng_gói sản_phẩm ok
Quần chưa kịp mặc đã bục 1 đoạn.,NEG,2,,quần chưa kịp mặc đã bục 1 đoạn
Mình 48kg.,NEU,3,,mình 48 kg
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý.",POS,4,,mình mua sp chất giống ảnh gói hàng đẹp giao hàng nhanh giá_cả hợp_lý
Chất áo thì k phải lăn tănnn luôn nhưng form hơi to .,POS,4,,chất áo thì k phải lăn_tănnn luôn nhưng form hơi to
Shop còn có quà tặng kèm và thẻ tích điểm.,POS,5,,shop còn có quà tặng kèm và thẻ_tích điểm
Mạng chạy chậm quá.,NEG,1,,mạng chạy chậm quá
"Vừa khít bụng mình mà không bị hằn,cấn.",POS,4,,vừa khít bụng mình mà không bị hằncấn
Mua lần 2.,POS,4,,mua lần 2
Chất lượng sản phẩm tốt.,POS,5,,chất_lượng sản_phẩm tốt
Rất ưng ý 🤪❤️❤️.,POS,5,,rất ưng_ý
"Hàng thì siêu yêu, siêu mềm mịn.",POS,5,,hàng thì siêu_yêu siêu_mềm mịn
Chất liệu vải tốt so với giá ( 100k).,POS,4,,chất_liệu vải tốt so với giá 100 k
Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được.,NEU,3,,chất_lượng sản_phẩm tạm được thời_gian giao hàng tạm được đóng_gói sản_phẩm tạm được
"Đóng gói kĩ , áo còn lại đẹp.",POS,5,,đóng_gói kĩ_áo còn lại đẹp
"Giao nhầm hàng , ib shop k trả lời 😓😓😓.",NEG,1,,giao nhầm hàng ib shop_k trả_lời
"Màu bạc rất sáng, lấp lánh hơn màu hồng.",POS,4,,màu bạc rất sáng lấp_lánh hơn màu hồng
"Chất áo dày dặn, form áo đẹp.",POS,5,,chất áo dày dặn form áo đẹp
Ống quần bên to bên nhỏ size s và l bằng nhau.,NEG,2,,ống_quần bên to bên nhỏ size s và l bằng nhau
Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,,đóng_gói gọn_gàng đẹp_đẽ chất_lượng sản_phẩm tuyệt_vời rất đáng tiền thời_gian giao hàng rất nhanh
"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok.",POS,5,,chất_lượng sản_phẩm tương_xứng giá tiền mua mặc thay_đổi kiểu thì ok
Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ...,NEU,3,,ốc hơi lỏng cho thêm cái vặn vít k đang bao_nhiêu nhưng quý hơn cái dây kia bạn ạ
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄.",POS,5,,shop phục_vụ rất tốt hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy giá salehàng rất okethanks shop
"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc.",POS,4,,ren hơi mềm nên làm_dáng áo_ko được cứng nâng ngực tạm đc
Giao hàng lâu.,NEG,2,,giao hàng lâu
Sz 34 mà Khung ngực nhỏ quá.,NEG,2,,sz 34 mà khung ngực nhỏ quá
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
Hàng y hình rất đẹp ạ ❤️.,POS,5,,hàng y_hình rất đẹp ạ
Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém.,NEG,1,,thái_đô kém thời_gian giao hàng rất chậm_shop phục_vụ rất kém
Bàn tay mỏng nên ko nâng lắm.,NEG,2,,bàn_tay mỏng nên ko nâng lắm
Đẹp lắm đấy.,POS,4,,đẹp lắm đấy
"Áo giống hình, chất vải hơi nóng.",POS,4,,áo giống hình_chất vải hơi nóng
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi.",NEG,1,,đóng gỏi không cẩn_thận shop nên đong hộp cứng_đỡ bị móp bẹp túi
Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng.,NEU,3,,giao hàng nhanh mua sp thì hỏi kĩ trước tránh thất_vọng
Đóng gói sản phẩm rất đẹp và chắc chắc.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc chắc
"Thời gian giao hàng rất nhanh, dầy dặn, đẹp.",POS,5,,thời_gian giao hàng rất nhanh_dầy dặn đẹp
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm.,NEG,2,,có giống_hình nhưng vải rất mỏng không đúng như trong hình giá tiền tương_đương với sản_phẩm
"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà.",POS,5,,chủ shop tư_vấn rất nhiệt_tình đầm lên form rất đẹp_hợp với dáng mình còn đc tặng kèm qà
Váy còn đẹp và chuẩn hơn trong hình nữa.,POS,5,,váy còn đẹp và chuẩn hơn trong hình nữa
Sz 2 bộ xanh và hồng ko giống nhau.,NEG,1,,sz 2 bộ xanh và hồng_ko giống nhau
Áo rẻ đẹp phù hợp giá tiền.,POS,4,,áo rẻ đẹp phù_hợp giá tiền
"Áo vải cực đẹp, y hình, có điều to hơn mong đợi....",POS,5,,áo vải cực đẹp y_hình có_điều to hơn mong_đợi
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đồ rất đẹp sẽ ủng_hộ shop tiếp
Sản phản mới.Chất lượng sản phẩm tuyệt vời .,POS,5,,san phan_mơichất_lượng sản_phẩm tuyệt_vời
Giao hàng nhanh.👍👍.,POS,5,,giao hàng nhanh
Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại.,POS,4,,rất ngon nhưng_mà theo em thì nên xé nhỏ khô lại
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh
Chất ok á..nhưng rep ib thì hơi lâu.,POS,4,,chất ok ánhưng rep ib thì hơi lâu
Luôn ủng hộ shop.,POS,5,,luôn ủng_hộ shop
Âm thanh rất dở.,NEG,1,,âm_thanh rất dở
Xấu và nhìn phom áo chán đời luôn.,NEG,1,,xấu và nhìn phom áo chán đời luôn
Chất lượng sản phẩm tốt Đáng đồng tiền.,POS,5,,chất_lượng sản_phẩm tốt đáng đồng_tiền
"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa .",POS,5,,chuẩn quần vải đẹp ôm gọn chân mà vải còn mát nữa
"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍.",POS,5,,shop vận_chuyển hàng nhanh_váy khá ổn mà_còn đc tặng quà nữa hihi lắc tay nhỏ_nhỏ xinh_xinh khi nào đeo cho bé nhà
Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm.,NEG,2,,nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm
Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết.,NEG,2,,đập vào mắt là 175000 làm mất_hứng sản_phẩm được màu đậm hơn hìnháo có mùi như thuốc tẩy_giặt mãi ko hết
Chuẩn hàng Bitis.,POS,4,,chuẩn hàng bitis
Màu ko đẹp như hình chup.,NEG,1,,màu ko đẹp như hình chup
Hàng đẹp giao nhanh.,POS,5,,hàng đẹp giao nhanh
"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè.",POS,5,,chất_lượng sản_phẩm tuyệt_vời vải ok thích_hợp cho những_ai thích mang form rộng lắm nè
Hợp với giá 130k.,POS,5,,hợp với giá 130 k
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào.",NEG,2,,form áo xấu lắm mặc lên như tá_điền chỗ tà_áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc bảo sao thấy quay clip gập đôi áo vào
Thời gian giao hàng rất nhanh.,POS,5,,thời_gian giao hàng rất nhanh
"Công nghệ hơi lạ, ko biết có bền ko.",NEU,3,,công_nghệ hơi lạ_ko biết có bền ko
Gối hơi nhỏ.,NEG,2,,gối hơi nhỏ
"Áo nhìn xinh , shop nói chuyện cực đáng yêu.",POS,5,,áo nhìn xinh_shop nói_chuyện cực_đáng yêu
Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá.,NEU,3,,chất_lượng sản_phẩm tạm đượcchiều dài áo ngắn quá
Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi.,NEG,1,,mùi len_hơi nặng đã giặt nhưng vẫn còn nặng mùi
Vải oke lắm luôn.,POS,5,,vải oke lắm luôn
"Sản phẩm tạm được, đóng gói không đẹp.",NEG,2,,sản_phẩm tạm được đóng_gói không đẹp
Chưa thấy shop nào hãm l thế này.,NEG,1,,chưa thấy shop nào hãm l thế_này
"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng.",POS,5,,sản_phẩm rất ok kể_cả áo trong của nữ chất vải cũng mềm_đẹp mang lên sang chảnh tui mình diện đi sinh_nhật ai cũng khen đẹp đôi nói_chung là rất hài_lòng
Tầm giá là sử dụng tot.,POS,5,,tầm giá là sử_dụng tot
Không dùng được.,NEG,2,,không dùng được
Chất lượng sản phẩm tạm được áo hơi ngắn so với hình.,NEG,2,,chất_lượng sản_phẩm tạm được ao hơi ngăn so vơi hinh
Sản phẩm tôt giao hang nhanh.,POS,4,,sản_phẩm tôt giao hang nhanh
Hàng bình thường.,NEU,3,,hàng bình_thường
K con duong nao de che .,NEG,1,,k con duong nao de che
Chất vải ok dày dặn.,POS,5,,chất vải ok dày dặn
Ưng!,POS,4,,ưng
Nay mua thêm 1 combo nữa.,NEU,3,,nay mua thêm 1 combo nữa
áo dep lam shop ui.mình rat thix.,POS,5,,áo dep lam_shop uimình rat thix
Thời gian giao hàng nhanh.,POS,5,,thời_gian giao hàng nhanh
Rất ưng hiii.,POS,5,,rất ưng hiii
K giao.,NEG,2,,k giao
Màu sắc k giống hình.,NEG,2,,màu_sắc k giống hình
Áo vải quá xấu.,NEG,1,,áo vải quá xấu
"Nói chung là mình mua mặc đi làm ok, đáng tiền.",POS,5,,nói_chung là mình mua mặc đi làm ok đáng tiền
"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết.",POS,5,,shop nhiệt_tình giúp_đỡ chất_lượng quần thì khỏi chê dài rộng gì cũng vừa ý mình hết
"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng.",NEG,2,,yêu_cầu đổi trả shop yêu_cầu gửi ảnh gửi cho r im_lặng
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,thời_gian giao hàng rất nhanh rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn
Hàng kém chất lượng và không như quảng cáo.,NEG,2,,hàng kém chất_lượng và không như quảng_cáo
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Nói chung là không thất vọng đâu.,POS,4,,nói_chung là không thất_vọng đâu
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Sản phẩm giống hình.,NEU,3,,sản_phẩm giống hình
Giầy hơi cứng Chất lượng sản phẩm tạm được.,NEU,3,,giầy hơi cứng chất_lượng sản_phẩm tạm được
Sờ chất quần thì Ok luôn.,POS,4,,sờ chất quần thì ok luôn
"Vay đẹp kỹ,tu van nhiet tinh.",POS,5,,vay đẹp kỹtu van nhiet_tinh
Y hình.,POS,5,,y_hình
Nt ko trả lời.,NEG,2,,nt ko trả_lời
Chất lượng vừa với giá tiền.,POS,4,,chât lương vưa_vơi gia_tiên
Sẽ ủng hộ shop dài.,POS,5,,sẽ ủng_hộ shop dài
Hàng chất lượng hơn giá sản phẩm nhak mọi người.,POS,4,,hàng chất_lượng hơn giá sản_phẩm nhak mọi người
Áo rách ntn ko hiểu phải mặc ntn luôn.,NEG,1,,áo rách ntn ko hiểu phải mặc ntn luôn
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok!",POS,4,,nhưng cũng phù_hợp với giá tiền mặc vẫn ok
Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀.,POS,4,,đô măc vưathun hơi ôm dê thây bung
Chọn màu này lấy màu kia.,NEG,2,,chọn màu này lấy màu kia
"hàng tương đối ổn,mình khá hài lòng.",POS,4,,hàng tương_đối ổnmình khá hài_lòng
Inbox ko thèm trả lời.,NEG,2,,inbox ko_thèm trả_lời
Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang.,POS,5,,mình mua 2 chai về tàng_trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu_tẩy trang
Mất uy tín.,NEG,1,,mất uy_tín
Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá.,POS,4,,màu ngoài ko giống trong ảnh nhưng chất_lượng khá ok với giá
Rất ưng.,POS,5,,rất ưng
"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*.",POS,4,,shop giao hàng nhanh gửi đúng màu áo giống hình mặc_dù chất vải ko đẹp như mong_muốn nhưng vẫn cho shop 5
"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh.",POS,5,,shop phục_vụ rất tốt thời_gian giao hàng rất nhanh
giày đẹp lắm . giao hàng lâu quá mun điên.,POS,4,,giày đẹp lắm giao hàng lâu quá mun điên
Shop giao siêu nhanh.,POS,5,,shop giao siêu nhanh
Giao hàng nhanh.,POS,5,,giao hàng nhanh
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền.,POS,4,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền thời_gian giao hàng tạm được đáng đồng_tiền
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Vừa ý.,POS,4,,vừa ý
"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn.",POS,4,,4 quần size_l nhưng lại bị cái to cái bé còn với giá tiền nvay thì cũng k mong chất đẹp hơn
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,POS,5,,shop phục_vụ rất tốt thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh
Nhưng ko sao tks shop.,POS,4,,nhưng ko sao tks shop
Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì.,POS,4,,chất_lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả_lời gì
Vài thun rất mỏng ko fai len.,NEG,1,,vài thun rất mỏng ko fai len
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt
"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒.",POS,4,,đóng_gói sản_phẩm chắc_chắn shop giao hàng nhanh nhận ngay 2010 về sp thì chất vải cũng đc_hợp mặc mùa thuáo đẹp nhưng_mà shop nên kiểm_tra kĩ_sp đi ạ áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay
Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao.,POS,5,,shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao
Thêm tin tưởng vào shoppe.,POS,4,,thêm tin_tưởng vào shoppe
Áo vải đẹp mịn mát ❤.,POS,5,,áo vải đẹp mịn mát
Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh
Chủ shop nhiệt tình.,POS,5,,chủ shop nhiệt_tình
Rất đáng tiền.,POS,5,,rất đáng tiền
Sản phẩm rất đẹp.,POS,5,,sản_phẩm rất đẹp
Hơi thô.,NEG,2,,hơi thô
Vãi rất mỏng.,NEG,2,,vai rât mong
Hàng y như hình.,NEU,3,,hàng y_như hình
Đẹp lại rẻ.,POS,5,,đẹp lại rẻ
Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời ưng sẽ ủng_hộ shop dài giao hàng nhanh
